review_id,claim_id,review_round,review_datetime,reviewer_id,review_type,auto_risk_score,triage_result,reviewer_notes,perito_id,perito_physical_inspection,damage_consistency_rating,documentation_completeness_pct,recommended_action,days_since_claim
REV_00002_1,CLM_00002,1,2025-11-29 14:33:00,R-2512,Initial Triage,16.1,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,1
REV_00003_1,CLM_00003,1,2024-06-26 04:36:00,R-1744,Initial Triage,36.3,Yellow - Standard Review,Claimant was vague about accident circumstances.,,,,,Standard Review,2
REV_00003_2,CLM_00003,2,2024-07-29 21:36:00,R-1744,Expert Assessment,,,No anomalies found during review.,P-5992,No,2.2,60.2,Recommend Denial,35
REV_00003_3,CLM_00003,3,2024-08-15 13:36:00,SIU-209,SIU Investigation,,,Full investigation completed. Findings documented in case file.,P-5992,Yes,,,Claim Denied,51
REV_00004_1,CLM_00004,1,2025-08-05 19:55:00,R-3644,Initial Triage,29.8,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,2
REV_00005_1,CLM_00005,1,2023-11-23 06:14:00,R-3260,Initial Triage,57.0,Orange - Escalated Review,"All documents verified, consistent narrative.",,,,,Escalated Review,2
REV_00005_2,CLM_00005,2,2023-11-29 16:14:00,R-3260,Expert Assessment,,,Verified damage with independent assessment.,P-2553,Yes,4.0,74.8,Request Additional Documentation,8
REV_00006_1,CLM_00006,1,2025-10-03 04:39:00,R-7001,Initial Triage,10.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_00007_1,CLM_00007,1,2022-12-27 19:53:00,R-7520,Initial Triage,63.5,Orange - Escalated Review,"Routine processing, no flags raised.",,,,,Escalated Review,3
REV_00007_2,CLM_00007,2,2023-01-17 09:53:00,R-7520,Expert Assessment,,,All repair items match incident description.,P-4275,No,3.3,82.0,Request Additional Documentation,23
REV_00008_1,CLM_00008,1,2023-11-20 13:56:00,R-8889,Initial Triage,61.3,Red - Full Investigation,"Verified with third party, consistent account.",,,,,Full Investigation,2
REV_00008_2,CLM_00008,2,2023-11-22 02:56:00,R-8889,Expert Assessment,,,Verified damage with independent assessment.,P-2664,No,2.5,86.6,Recommend Denial,3
REV_00008_3,CLM_00008,3,2023-11-30 11:56:00,SIU-993,SIU Investigation,,,Medical records review completed where applicable.,P-2664,Yes,,,Pending Review,11
REV_00009_1,CLM_00009,1,2025-06-24 10:45:00,R-8461,Initial Triage,58.5,Orange - Escalated Review,"Documentation complete, no issues detected.",,,,,Escalated Review,2
REV_00009_2,CLM_00009,2,2025-06-27 18:45:00,R-8461,Expert Assessment,,,No anomalies found during review.,P-4063,No,2.2,99.0,Approve with Conditions,5
REV_00010_1,CLM_00010,1,2022-09-30 22:33:00,R-2812,Initial Triage,37.0,Green - Proceed,Police report not available despite claimant stating it was filed.,,,,,Proceed,5
REV_00012_1,CLM_00012,1,2025-07-13 18:50:00,R-4718,Initial Triage,7.7,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_00013_1,CLM_00013,1,2023-05-30 14:19:00,R-2812,Initial Triage,86.4,Red - Full Investigation,"Verified with third party, consistent account.",,,,,Full Investigation,3
REV_00013_2,CLM_00013,2,2023-06-06 23:19:00,R-2812,Expert Assessment,,,Documentation supports claim as reported.,P-9909,No,3.5,52.1,Recommend Denial,10
REV_00013_3,CLM_00013,3,2023-06-15 12:19:00,SIU-666,SIU Investigation,,,"Interviewed claimant, witness, and repair shop independently.",P-9909,Yes,,,Claim Settled at Reduced Amount,18
REV_00014_1,CLM_00014,1,2022-05-30 18:10:00,R-4718,Initial Triage,26.7,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_00015_1,CLM_00015,1,2023-03-18 17:30:00,R-6466,Initial Triage,77.4,Red - Full Investigation,"Standard claim, within normal parameters.",,,,,Full Investigation,1
REV_00015_2,CLM_00015,2,2023-03-23 09:30:00,R-6466,Expert Assessment,,,Verified damage with independent assessment.,P-9787,No,2.4,99.7,Refer to Special Investigations Unit,5
REV_00015_3,CLM_00015,3,2023-03-28 20:30:00,SIU-343,SIU Investigation,,,Full investigation completed. Findings documented in case file.,P-9787,No,,,Pending Review,10
REV_00016_1,CLM_00016,1,2022-11-24 08:34:00,R-6466,Initial Triage,19.7,Green - Proceed,Minor inconsistencies in timeline reported by claimant.,,,,,Proceed,1
REV_00018_1,CLM_00018,1,2025-08-26 08:47:00,R-3888,Initial Triage,17.8,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_00019_1,CLM_00019,1,2023-06-30 13:01:00,R-3644,Initial Triage,58.7,Orange - Escalated Review,"Routine processing, no flags raised.",,,,,Escalated Review,1
REV_00019_2,CLM_00019,2,2023-07-08 04:01:00,R-3644,Expert Assessment,,,Physical inspection consistent with reported damage.,P-8856,No,5.0,90.2,Approve,8
REV_00020_1,CLM_00020,1,2023-06-12 04:52:00,R-1276,Initial Triage,32.1,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,1
REV_00020_2,CLM_00020,2,2023-06-20 17:52:00,R-1276,Expert Assessment,,,All repair items match incident description.,P-7114,No,4.3,85.3,Approve,9
REV_00021_1,CLM_00021,1,2025-12-14 10:04:00,R-2512,Initial Triage,25.5,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,3
